player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Bryan Jackson II,4800,RB,WISC,WISC @ ND,Night,https://dkn.gs/sports/images/cfb/teams/50/7894.png,1509146,44025881,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Luke Hasz,4800,WR,MISS,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8197.png,1440923,44027318,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Gavin Higgins,4800,K,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1645711,44025457,09/05/2026 07:30 PM,2026-09-04T16:50:47Z
Aidan Corbello,4800,K,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1467242,44025458,09/05/2026 07:30 PM,2026-09-04T16:50:47Z
Sean Perret,4800,K,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1590810,44025459,09/05/2026 07:30 PM,2026-09-04T16:50:47Z
Scott Starzyk,4800,K,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1582241,44025460,09/05/2026 07:30 PM,2026-09-04T16:50:47Z
Mathias Brown,4800,K,SJSU,SJSU @ EMU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7962.png,1509466,44009122,09/04/2026 06:30 PM,2026-09-04T16:50:47Z
Trajan Sinatra,4800,K,SJSU,SJSU @ EMU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7962.png,1598600,44009123,09/04/2026 06:30 PM,2026-09-04T16:50:47Z
Joey Fernandez,4800,K,SJSU,SJSU @ EMU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7962.png,1656538,44009124,09/04/2026 06:30 PM,2026-09-04T16:50:47Z
Connor Walendzak,4800,RB,TOL,TOL @ MSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8022.png,1442483,44009694,09/04/2026 08:00 PM,2026-09-04T16:50:48Z
Kaleb Edwards,4800,WR,BAMA,ECU @ BAMA,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8166.png,1595176,44020027,09/05/2026 12:00 PM,2026-09-04T16:50:48Z
